		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
25/05/23	0:10	16.2	16.2	16.1	86	13.8	0.9	E	0.54	3.1	E	16.2	16.3	16.3	---	1001.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.015	0.000	22.4	58	13.7	22.3	10.66	1.1630	0.00	233	1	100.0	10
25/05/23	0:20	16.3	16.3	16.2	85	13.8	0.9	ESE	0.54	2.7	NE	16.3	16.3	16.3	---	1001.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.014	0.000	22.3	58	13.7	22.2	10.66	1.1633	0.00	230	1	100.0	10
25/05/23	0:30	16.4	16.5	16.3	85	13.9	0.4	ENE	0.27	1.3	E	16.4	16.6	16.6	---	1001.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.013	0.000	22.2	58	13.6	22.1	10.67	1.1638	0.00	230	1	100.0	10
25/05/23	0:40	16.4	16.5	16.4	86	14.1	0.4	N	0.27	1.3	NNW	16.4	16.6	16.6	---	1001.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.013	0.000	22.2	58	13.6	22.1	10.67	1.1640	0.00	233	1	100.0	10
25/05/23	0:50	16.3	16.5	16.3	86	13.9	0.4	NNW	0.27	1.3	NNW	16.3	16.4	16.4	---	1002.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.014	0.000	22.2	58	13.5	22.0	10.67	1.1645	0.00	232	1	100.0	10
25/05/23	1:00	16.1	16.3	16.1	87	13.9	0.4	W	0.27	1.8	NW	16.1	16.2	16.2	---	1002.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.015	0.000	22.2	58	13.5	22.0	10.67	1.1646	0.00	230	1	100.0	10
25/05/23	1:10	16.2	16.2	16.1	88	14.2	0.9	NNW	0.54	2.2	NW	16.2	16.3	16.3	---	1002.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.015	0.000	22.1	59	13.7	22.0	10.88	1.1645	0.00	231	1	100.0	10
25/05/23	1:20	16.3	16.3	16.2	88	14.3	0.9	NNW	0.54	2.2	NW	16.3	16.5	16.5	---	1001.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.014	0.000	22.1	59	13.7	21.9	10.88	1.1645	0.00	234	1	100.0	10
25/05/23	1:30	16.4	16.4	16.3	88	14.4	0.9	NNW	0.54	2.2	NNW	16.4	16.6	16.6	---	1002.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.014	0.000	22.1	59	13.7	21.9	10.88	1.1648	0.00	231	1	100.0	10
25/05/23	1:40	16.4	16.4	16.4	89	14.6	1.8	NNW	1.07	3.6	NW	16.4	16.6	16.6	---	1002.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.014	0.000	22.1	60	13.9	21.9	11.02	1.1643	0.00	231	1	100.0	10
25/05/23	1:50	16.4	16.4	16.3	89	14.6	0.9	NNW	0.54	2.2	NNW	16.4	16.6	16.6	---	1002.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.014	0.000	22.1	60	13.9	21.9	11.02	1.1643	0.00	232	1	100.0	10
25/05/23	2:00	16.2	16.4	16.2	88	14.2	0.9	NW	0.54	1.8	NNW	16.2	16.4	16.4	---	1001.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.015	0.000	22.0	60	13.9	21.9	11.02	1.1644	0.00	226	1	99.1	10
25/05/23	2:10	16.1	16.2	16.1	88	14.1	0.9	N	0.54	3.1	NNE	16.1	16.3	16.3	---	1002.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.015	0.000	22.0	60	13.9	21.9	11.02	1.1645	0.00	233	1	100.0	10
25/05/23	2:20	16.1	16.2	16.1	88	14.1	0.9	N	0.54	1.8	N	16.1	16.3	16.3	---	1001.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.015	0.000	21.9	60	13.8	21.8	11.02	1.1647	0.00	231	1	100.0	10
25/05/23	2:30	16.1	16.1	16.1	87	13.9	0.9	NNE	0.54	1.8	NE	16.1	16.2	16.2	---	1001.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.015	0.000	21.9	60	13.8	21.7	11.02	1.1649	0.00	231	1	100.0	10
25/05/23	2:40	16.1	16.1	16.1	87	13.9	0.9	N	0.54	2.2	NNE	16.1	16.2	16.2	---	1001.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.015	0.000	21.9	60	13.8	21.7	11.02	1.1650	0.00	233	1	100.0	10
25/05/23	2:50	16.1	16.1	16.0	87	13.9	0.9	N	0.54	1.8	N	16.1	16.2	16.2	---	1001.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.016	0.000	21.8	60	13.7	21.7	11.02	1.1652	0.00	231	1	100.0	10
